,state,date,new_confirmed,new_deaths
0,SP,2020-02-25,1,0
1,SP,2020-02-26,0,0
2,SP,2020-02-27,0,0
3,SP,2020-02-28,1,0
4,SP,2020-02-29,0,0
5,SP,2020-03-01,0,0
6,SP,2020-03-02,0,0
7,SP,2020-03-03,0,0
8,SP,2020-03-04,1,0
9,SP,2020-03-05,4,0
10,SP,2020-03-06,2,0
11,SP,2020-03-07,9,0
12,SP,2020-03-08,6,0
13,SP,2020-03-09,0,0
14,SP,2020-03-10,4,0
15,SP,2020-03-11,14,0
16,SP,2020-03-12,45,0
17,SP,2020-03-13,7,0
18,SP,2020-03-14,38,0
19,SP,2020-03-15,19,0
20,SP,2020-03-16,121,0
21,SP,2020-03-17,47,1
22,SP,2020-03-18,186,2
23,SP,2020-03-19,125,4
24,SP,2020-03-20,237,4
25,SP,2020-03-21,204,1
26,SP,2020-03-22,199,0
27,SP,2020-03-23,274,1
28,SP,2020-03-24,238,3
29,SP,2020-03-25,784,43
30,SP,2020-03-26,422,18
31,SP,2020-03-27,488,16
32,SP,2020-03-28,250,5
33,SP,2020-03-29,305,8
34,SP,2020-03-30,629,60
35,SP,2020-03-31,1164,36
36,SP,2020-04-01,1107,42
37,SP,2020-04-02,1169,40
38,SP,2020-04-03,1112,81
39,SP,2020-04-04,1130,78
40,SP,2020-04-05,1082,53
41,SP,2020-04-06,838,74
42,SP,2020-04-07,1821,121
43,SP,2020-04-08,2173,135
44,SP,2020-04-09,1921,133
45,SP,2020-04-10,1760,114
46,SP,2020-04-11,1055,68
47,SP,2020-04-12,1464,96
48,SP,2020-04-13,1402,112
49,SP,2020-04-14,1919,208
50,SP,2020-04-15,3240,203
51,SP,2020-04-16,2084,202
52,SP,2020-04-17,3296,211
53,SP,2020-04-18,2776,202
54,SP,2020-04-19,1934,115
55,SP,2020-04-20,1830,108
56,SP,2020-04-21,2711,172
57,SP,2020-04-22,2775,170
58,SP,2020-04-23,3874,409
59,SP,2020-04-24,3912,369
60,SP,2020-04-25,5297,356
61,SP,2020-04-26,3715,227
62,SP,2020-04-27,4145,305
63,SP,2020-04-28,6234,486
64,SP,2020-04-29,6116,442
65,SP,2020-04-30,7410,446
66,SP,2020-05-01,5456,458
